sigma,wavelet,mode,wavelet_levels,convert2ycbcr,method,rescale_sigma,PSNR
0.001,db5,soft,2,False,VisuShrink,False,18.26362277720909
0.001,db5,soft,3,False,BayesShrink,True,18.04203645638249
0.001,db5,soft,3,False,BayesShrink,False,18.04203645638249
0.001,db5,soft,3,False,VisuShrink,True,18.2686074994517
0.001,db5,soft,3,False,VisuShrink,False,18.2686074994517
0.001,db5,hard,,False,BayesShrink,True,18.041641541659054
0.001,db5,hard,,False,BayesShrink,False,18.041641541659054
0.001,db5,hard,,False,VisuShrink,True,18.041663319688737
0.001,db5,hard,,False,VisuShrink,False,18.041663319688737
0.001,db5,hard,1,False,BayesShrink,True,18.041641541659054
0.001,db5,hard,1,False,BayesShrink,False,18.041641541659054
0.001,db5,hard,1,False,VisuShrink,True,18.041663319688737
0.001,db5,hard,1,False,VisuShrink,False,18.041663319688737
0.001,db5,hard,2,False,BayesShrink,True,18.041641541222422
0.001,db5,hard,2,False,BayesShrink,False,18.041641541222422
0.001,db5,hard,2,False,VisuShrink,True,18.041684890508435
0.001,db5,hard,2,False,VisuShrink,False,18.041684890508435
0.001,db5,hard,3,False,BayesShrink,True,18.041641541222422
0.001,db5,hard,3,False,BayesShrink,False,18.041641541222422
0.001,db5,hard,3,False,VisuShrink,True,18.041673184879443
0.001,db5,hard,3,False,VisuShrink,False,18.041673184879443
0.001,sym2,soft,,False,BayesShrink,True,18.042034042747588
0.001,sym2,soft,,False,BayesShrink,False,18.042034042747588
0.001,sym2,soft,,False,VisuShrink,True,18.268948862309614
0.001,sym2,soft,,False,VisuShrink,False,18.268948862309614
0.001,sym2,soft,1,False,BayesShrink,True,18.041963332270146
0.001,sym2,soft,1,False,BayesShrink,False,18.041963332270146
0.001,sym2,soft,1,False,VisuShrink,True,18.222490267528492
0.001,sym2,soft,1,False,VisuShrink,False,18.222490267528492
0.001,sym2,soft,2,False,BayesShrink,True,18.0420286004796
0.001,sym2,soft,2,False,BayesShrink,False,18.0420286004796
0.001,sym2,soft,2,False,VisuShrink,True,18.263916023671985
0.001,sym2,soft,2,False,VisuShrink,False,18.263916023671985
0.001,sym2,soft,3,False,BayesShrink,True,18.042034042747588
0.001,sym2,soft,3,False,BayesShrink,False,18.042034042747588
0.001,sym2,soft,3,False,VisuShrink,True,18.268948862309614
0.001,sym2,soft,3,False,VisuShrink,False,18.268948862309614
0.001,sym2,hard,,False,BayesShrink,True,18.041641552977335
