h,Template Window Size,Search Window Size,PSNR
50,19,9,23.119911070884882
60,5,5,25.518071422253964
60,5,7,24.653410852730573
60,5,9,24.04024441736039
60,7,5,25.325450472768843
60,7,7,24.29180854913712
60,7,9,23.57253846158742
60,9,5,25.200351832777343
60,9,7,24.100950174623446
60,9,9,23.313278877422803
60,11,5,25.117268317552103
60,11,7,23.975701317030307
60,11,9,23.16026507451522
60,13,5,25.060133534294017
60,13,7,23.888336011581714
60,13,9,23.057522117263876
60,15,5,25.018167870034663
60,15,7,23.824089212608882
60,15,9,22.979973956393973
60,17,5,24.98355735999153
60,17,7,23.7732582090961
60,17,9,22.918901372218265
60,19,5,24.956676912084838
60,19,7,23.73069269276005
60,19,9,22.868422455272146
70,5,5,25.274810401846647
70,5,7,24.319522459030996
70,5,9,23.649049243379075
70,7,5,25.11631886085673
70,7,7,24.02239191162549
70,7,9,23.265233377523362
70,9,5,25.018089897915758
70,9,7,23.87245588219223
70,9,9,23.059945378431046
70,11,5,24.95477531788488
70,11,7,23.77658745569899
70,11,9,22.941705256244948
70,13,5,24.911934482172626
70,13,7,23.70998187164932
70,13,9,22.863726627274854
70,15,5,24.878810907583116
70,15,7,23.661780075497273
70,15,9,22.80563674212225
70,17,5,24.853788007376355
70,17,7,23.623517922164904
70,17,9,22.75991922606555
70,19,5,24.833246349132224
70,19,7,23.59069389911007
70,19,9,22.722177573867732
80,5,5,25.10963690734945
80,5,7,24.085470113905934
80,5,9,23.37320962856151
80,7,5,24.97859627440626
80,7,7,23.843523057501383
80,7,9,23.057138846326488
80,9,5,24.90025122988357
80,9,7,23.722710750681824
80,9,9,22.891725759434138
80,11,5,24.850527319319866
80,11,7,23.646707230950913
80,11,9,22.799328518952056
80,13,5,24.81600270465747
80,13,7,23.594970221356242
80,13,9,22.73821941604527
80,15,5,24.790505228363948
80,15,7,23.55760706543872
80,15,9,22.69294226952607
80,17,5,24.771656343641517
80,17,7,23.52888905638048
80,17,9,22.65765633838909
80,19,5,24.755490205691267
80,19,7,23.50340341535059
80,19,9,22.62812830032043
90,5,5,24.99133600616065
90,5,7,23.919053945388
90,5,9,23.17311381922023
90,7,5,24.883088883057752
90,7,7,23.716308333234842
90,7,9,22.911387561519927
90,9,5,24.819684022568623
90,9,7,23.61992997389436
90,9,9,22.776210040637594
90,11,5,24.77867544390516
90,11,7,23.55865540682352
90,11,9,22.701811678819613
90,13,5,24.751597386410644
90,13,7,23.517262886387837
90,13,9,22.65217907606639
90,15,5,24.731725203155605
90,15,7,23.487152897779822
90,15,9,22.616611839150487
90,17,5,24.71693967674451
90,17,7,23.46390692043822
90,17,9,22.588106586897872
90,19,5,24.70411700306528
90,19,7,23.444177151581602
90,19,9,22.564867585767743
